url_length,hostname_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,question_count,equal_count,at_count,ampersand_count,percent_count,digit_count,letter_count,has_https,has_ip,subdomain_count,suspicious_word_count,is_shortened,label
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
28,20,0,0,1,0,0,2,0,0,0,0,0,0,24,1,0,0,0,0,0
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
73,19,46,0,4,1,0,4,0,0,0,0,0,5,58,1,0,0,0,0,1
58,21,29,0,5,1,0,5,0,0,0,0,0,0,46,1,0,0,1,0,1
51,16,27,0,5,0,0,4,0,0,0,0,0,0,41,1,0,1,0,0,1
14,6,0,0,1,0,0,2,0,0,0,0,0,3,7,1,0,0,0,0,0
73,15,50,0,5,1,0,6,0,0,0,0,0,3,57,1,0,1,0,0,1
27,19,0,0,1,0,0,2,0,0,0,0,0,0,23,1,0,0,0,0,0
35,27,0,0,1,2,0,2,0,0,0,0,0,0,29,1,0,0,0,0,0
23,15,0,0,2,0,0,2,0,0,0,0,0,0,18,1,0,1,0,0,0
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
28,19,1,0,2,1,0,3,0,0,0,0,0,2,19,1,0,1,0,0,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
37,22,7,0,2,0,0,3,0,0,0,0,0,0,31,1,0,1,0,0,1
34,25,1,0,2,0,0,3,0,0,0,0,0,0,28,1,0,1,0,0,1
33,24,1,0,2,1,0,3,0,0,0,0,0,0,26,1,0,1,0,0,1
32,16,8,0,1,0,0,4,0,0,0,0,0,0,26,1,0,0,0,0,1
17,9,0,0,1,0,0,2,0,0,0,0,0,1,12,1,0,0,0,0,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,0,0,0
73,20,45,0,5,0,0,4,0,0,0,0,0,34,29,1,0,1,0,0,1
22,14,0,0,1,0,0,2,0,0,0,0,0,1,17,1,0,0,0,0,0
21,13,0,0,1,1,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
14,6,0,0,1,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0
33,25,0,0,5,0,0,2,0,0,0,0,0,0,25,1,0,4,0,0,1
23,15,0,0,1,0,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
19,6,5,0,1,0,0,3,0,0,0,0,0,1,13,1,0,0,0,0,1
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
43,18,17,0,4,0,0,3,0,0,0,0,0,2,33,1,0,2,0,0,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
26,18,0,0,1,0,0,2,0,0,0,0,0,0,22,1,0,0,0,0,0
18,10,0,0,2,0,0,2,0,0,0,0,0,0,13,1,0,1,0,1,0
35,22,5,0,2,0,0,3,0,0,0,0,0,5,24,1,0,1,0,0,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
23,15,0,0,1,1,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
38,29,1,0,2,1,0,3,0,0,0,0,0,6,25,1,0,1,0,0,1
40,16,16,0,2,0,0,3,0,0,0,0,0,15,19,1,0,1,0,0,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
30,21,1,0,1,2,0,3,0,0,0,0,0,0,23,1,0,0,0,0,1
31,22,1,0,2,0,0,3,0,0,0,0,0,0,25,1,0,1,0,1,1
61,49,4,0,6,2,0,3,0,0,0,0,0,8,41,1,0,2,0,0,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
